Genre,programCode,programName,textColor,backgroundColor2
AWARDS,BB1,BB1 BRIT 2024,"color: rgb(0, 0, 0)"," background-color: rgb(255, 255, 102)"
AWARDS,BB1,BB1 GRMY 65,"color: rgb(0, 0, 0)"," background-color: rgb(255, 255, 102)"
AWARDS,BB1,BB1 GRMY 67,"color: rgb(0, 0, 0)"," background-color: rgb(255, 255, 102)"
AWARDS,BB2,BB2 BRIT 2023,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
AWARDS,BB2,BB2 BRIT 2025,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
AWARDS,BB2,BB2 GRMY 66,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
AWARDS,BB2,BB2 HIT 19,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
AWARDS,BB2,BB2 HIT 20,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
AWARDS,BB2,BB2 HIT 21,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
AWARDS,BB2,BB2 HIT 22,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
GREATEST HITS,BB1,BB1 HIT 1,"color: rgb(0, 0, 0)"," background-color: rgb(255, 255, 102)"
